SAMPLE_ID,SEQ_RUN_NAME,FASTQ_R1,FASTQ_R2,PATIENT_NUM,PUB_LETTER,SAMPLE_TYPE,ENRICH
164NY2,180728_M04141_0233_000000000-BWTM2,164NY2_ENRICH_S137_R1_001.fastq.gz,164NY2_ENRICH_S137_R2_001.fastq.gz,164,A,original,Ori
164NY2ENRICH,180728_M04141_0233_000000000-BWTM2,164NY2_S124_R1_001.fastq.gz,164NY2_S124_R2_001.fastq.gz,164,A,enrichment,Enrich
222NY2,180728_M04141_0233_000000000-BWTM2,222NY2_ENRICH_S136_R1_001.fastq.gz,222NY2_ENRICH_S136_R2_001.fastq.gz,222,B,original,Ori
222NY2ENRICH,180728_M04141_0233_000000000-BWTM2,222NY2_S123_R1_001.fastq.gz,222NY2_S123_R2_001.fastq.gz,222,B,enrichment,Enrichh
230NY,180728_M04141_0233_000000000-BWTM2,230NY_ENRICH_S130_R1_001.fastq.gz,230NY_ENRICH_S130_R2_001.fastq.gz,230,C,original,Ori
230NYENRICH,180728_M04141_0233_000000000-BWTM2,230NY_S117_R1_001.fastq.gz,230NY_S117_R2_001.fastq.gz,230,C,enrichment,Enrich
234NY,180728_M04141_0233_000000000-BWTM2,234NY_ENRICH_S133_R1_001.fastq.gz,234NY_ENRICH_S133_R2_001.fastq.gz,234,D,original,Ori
234NYENRICH,180728_M04141_0233_000000000-BWTM2,234NY_S120_R1_001.fastq.gz,234NY_S120_R2_001.fastq.gz,234,D,enrichment,Enrich
235NY,180728_M04141_0233_000000000-BWTM2,235NY_ENRICH_S134_R1_001.fastq.gz,235NY_ENRICH_S134_R2_001.fastq.gz,235,E,original,Ori
235NYENRICH,180728_M04141_0233_000000000-BWTM2,235NY_S121_R1_001.fastq.gz,235NY_S121_R2_001.fastq.gz,235,E,enrichment,Enrich
243NY,180728_M04141_0233_000000000-BWTM2,243NY_ENRICH_S139_R1_001.fastq.gz,243NY_ENRICH_S139_R2_001.fastq.gz,243,F,original,Ori
243NYENRICH,180728_M04141_0233_000000000-BWTM2,243NY_S126_R1_001.fastq.gz,243NY_S126_R2_001.fastq.gz,243,F,enrichment,Enrich
MMM,180728_M04141_0233_000000000-BWTM2,MMM_control_S128_R1_001.fastq.gz,MMM_control_S128_R2_001.fastq.gz,,,control,control
PwrsoilBWTM2,180728_M04141_0233_000000000-BWTM2,PwrsoilBWTM2_S129_R1_001.fastq.gz,PwrsoilBWTM2_S129_R2_001.fastq.gz,,,control,control
3260SNY,190329_M04141_0304_000000000-CCVK7,3260SNY_S116_R1_001.fastq.gz,3260SNY_S116_R2_001.fastq.gz,260,G,original,Ori
3260SNYE,190329_M04141_0304_000000000-CCVK7,3260SNYE_S118_R1_001.fastq.gz,3260SNYE_S118_R2_001.fastq.gz,260,G,enrichment,Enrich
3262SNY,190329_M04141_0304_000000000-CCVK7,3262SNY_S117_R1_001.fastq.gz,3262SNY_S117_R2_001.fastq.gz,262,H,original,Ori
3262SNYE,190329_M04141_0304_000000000-CCVK7,3262SNYE_S119_R1_001.fastq.gz,3262SNYE_S119_R2_001.fastq.gz,262,H,enrichment,Enrich
PWRSOILCCVK7,190329_M04141_0304_000000000-CCVK7,PWRSOILCCVK7_S120_R1_001.fastq.gz,PWRSOILCCVK7_S120_R2_001.fastq.gz,,,control,control