Supernatant,PubLetter,Date,OrganicAcid,Concentration_mM,BioRep
Super164,A,APR2019,Acetate,7.262857143,
Super164,A,APR2019,Butyrate,-1.602557272,
Super164,A,APR2019,Propionate,1.909187467,
Super164,A,APR2019,Lactate,0.078624915,
Super164,A,APR2019,Succinate,0.326550967,
Super164,A,APR2019,Pyruvate,0.00919488,
Super222,B,APR2019,Acetate,15.92714286,
Super222,B,APR2019,Butyrate,-1.310335642,
Super222,B,APR2019,Propionate,5.895379713,
Super222,B,APR2019,Lactate,0.155718176,
Super222,B,APR2019,Succinate,0.408537802,
Super222,B,APR2019,Pyruvate,0.162879649,
Super230,C,APR2019,Acetate,5.695714286,
Super230,C,APR2019,Butyrate,-1.234683005,
Super230,C,APR2019,Propionate,1.697291556,
Super230,C,APR2019,Lactate,3.082028591,
Super230,C,APR2019,Succinate,0.260921604,
Super230,C,APR2019,Pyruvate,0.062425206,
Super234,D,APR2019,Acetate,3.977857143,
Super234,D,APR2019,Butyrate,-1.490676612,
Super234,D,APR2019,Propionate,1.338289963,
Super234,D,APR2019,Lactate,0.660993873,
Super234,D,APR2019,Succinate,0.280470776,
Super234,D,APR2019,Pyruvate,0.011542831,
Super235,E,APR2019,Acetate,21.41142857,
Super235,E,APR2019,Butyrate,-1.637986148,
Super235,E,APR2019,Propionate,7.003717472,
Super235,E,APR2019,Lactate,0.27059224,
Super235,E,APR2019,Succinate,0.260921604,
Super235,E,APR2019,Pyruvate,0.058282209,
Super243,F,APR2019,Acetate,1.111428571,
Super243,F,APR2019,Butyrate,-2.218433671,
Super243,F,APR2019,Propionate,-0.105151354,
Super243,F,APR2019,Lactate,1.767699115,
Super243,F,APR2019,Succinate,0.314582087,
Super243,F,APR2019,Pyruvate,0.139642505,
Super260,G,APR2019,Acetate,19.17,
Super260,G,APR2019,Butyrate,-0.854288759,
Super260,G,APR2019,Propionate,5.718003186,
Super260,G,APR2019,Lactate,0.083390061,
Super260,G,APR2019,Succinate,1.55036904,
Super260,G,APR2019,Pyruvate,0.056403848,
Super262,H,APR2019,Acetate,2.157142857,
Super262,H,APR2019,Butyrate,-2.218433671,
Super262,H,APR2019,Propionate,0.309612321,
Super262,H,APR2019,Lactate,3.704560926,
Super262,H,APR2019,Succinate,0.983443048,
Super262,H,APR2019,Pyruvate,0.062985685,
Super164,A,SEPT2019,Acetate,0,
Super164,A,SEPT2019,Lactate,3.702,
Super164,A,SEPT2019,Propionate,0,
Super164,A,SEPT2019,Succinate,0,
Super222,B,SEPT2019,Acetate,0.8821,
Super222,B,SEPT2019,Lactate,2.2812,
Super222,B,SEPT2019,Propionate,0,
Super222,B,SEPT2019,Succinate,0,
Super230,C,SEPT2019,Acetate,2.3694,
Super230,C,SEPT2019,Lactate,0,
Super230,C,SEPT2019,Propionate,0.593,
Super230,C,SEPT2019,Succinate,0.5801,
Super234,D,SEPT2019,Acetate,0.4153,
Super234,D,SEPT2019,Lactate,2.2448,
Super234,D,SEPT2019,Propionate,0,
Super234,D,SEPT2019,Succinate,0,
Super235,E,SEPT2019,Acetate,4.6358,
Super235,E,SEPT2019,Lactate,0,
Super235,E,SEPT2019,Propionate,0,
Super235,E,SEPT2019,Succinate,0,
Super243,F,SEPT2019,Acetate,0.2857,
Super243,F,SEPT2019,Lactate,1.5361,
Super243,F,SEPT2019,Propionate,0,
Super243,F,SEPT2019,Succinate,0,
Super260,G,SEPT2019,Acetate,1.1905,
Super260,G,SEPT2019,Lactate,0.2798,
Super260,G,SEPT2019,Propionate,0,
Super260,G,SEPT2019,Succinate,0,
Super262,H,SEPT2019,Acetate,0,
Super262,H,SEPT2019,Lactate,5.3491,
Super262,H,SEPT2019,Propionate,0,
Super262,H,SEPT2019,Succinate,0,
Super164,A,OCT2019,Acetate,0,
Super164,A,OCT2019,Lactate,3.6456,
Super164,A,OCT2019,Propionate,0,
Super164,A,OCT2019,Succinate,0.423,
Super222,B,OCT2019,Acetate,1.497,
Super222,B,OCT2019,Lactate,0.2186,
Super222,B,OCT2019,Propionate,0,
Super222,B,OCT2019,Succinate,0.8147,
Super230,C,OCT2019,Acetate,1.6537,
Super230,C,OCT2019,Lactate,0.2921,
Super230,C,OCT2019,Propionate,0,
Super230,C,OCT2019,Succinate,0.4313,
Super234,D,OCT2019,Acetate,0.83,
Super234,D,OCT2019,Lactate,2.1628,
Super234,D,OCT2019,Propionate,0.3312,
Super234,D,OCT2019,Succinate,0,
Super235,E,OCT2019,Acetate,4.0053,
Super235,E,OCT2019,Lactate,0,
Super235,E,OCT2019,Propionate,0.2148,
Super235,E,OCT2019,Succinate,0,
Super243,F,OCT2019,Acetate,0.364,
Super243,F,OCT2019,Lactate,1.3886,
Super243,F,OCT2019,Propionate,0,
Super243,F,OCT2019,Succinate,0,
Super260,G,OCT2019,Acetate,2.5526,
Super260,G,OCT2019,Lactate,0.0393,
Super260,G,OCT2019,Propionate,0,
Super260,G,OCT2019,Succinate,0.5999,
Super262,H,OCT2019,Acetate,0.24,
Super262,H,OCT2019,Lactate,0.8391,
Super262,H,OCT2019,Propionate,0,
Super262,H,OCT2019,Succinate,0.1405,
Super164,A,APR2020,Acetate,0.41655,1
Super164,A,APR2020,Acetate,0.4006,2
Super164,A,APR2020,Acetate,0.35875,3
Super164,A,APR2020,Butyrate,0,1
Super164,A,APR2020,Butyrate,0,2
Super164,A,APR2020,Butyrate,0,3
Super164,A,APR2020,Propionate,0,1
Super164,A,APR2020,Propionate,0,2
Super164,A,APR2020,Propionate,0,3
Super164,A,APR2020,Lactate,0.2628,1
Super164,A,APR2020,Lactate,0.18395,2
Super164,A,APR2020,Lactate,0,3
Super164,A,APR2020,Succinate,0.3446,1
Super164,A,APR2020,Succinate,0.5711,2
Super164,A,APR2020,Succinate,0.3795,3
Super222,B,APR2020,Acetate,2.7481,1
Super222,B,APR2020,Acetate,2.73565,2
Super222,B,APR2020,Acetate,2.5072,3
Super222,B,APR2020,Butyrate,0.50455,1
Super222,B,APR2020,Butyrate,0.53635,2
Super222,B,APR2020,Butyrate,0.5374,3
Super222,B,APR2020,Propionate,0.48915,1
Super222,B,APR2020,Propionate,0.4498,2
Super222,B,APR2020,Propionate,0.2631,3
Super222,B,APR2020,Lactate,1.35365,1
Super222,B,APR2020,Lactate,1.5698,2
Super222,B,APR2020,Lactate,1.5577,3
Super222,B,APR2020,Succinate,1.35115,1
Super222,B,APR2020,Succinate,1.3346,2
Super222,B,APR2020,Succinate,1.82255,3
Super230,C,APR2020,Acetate,1.1761,1
Super230,C,APR2020,Acetate,1.4006,2
Super230,C,APR2020,Acetate,1.35295,3
Super230,C,APR2020,Butyrate,0.3935,1
Super230,C,APR2020,Butyrate,0.44345,2
Super230,C,APR2020,Butyrate,0.4855,3
Super230,C,APR2020,Propionate,0.044,1
Super230,C,APR2020,Propionate,0.27,2
Super230,C,APR2020,Propionate,0.30405,3
Super230,C,APR2020,Lactate,1.12995,1
Super230,C,APR2020,Lactate,1.1651,2
Super230,C,APR2020,Lactate,4.261,3
Super230,C,APR2020,Succinate,0.61375,1
Super230,C,APR2020,Succinate,0.73145,2
Super230,C,APR2020,Succinate,1.00145,3
Super234,D,APR2020,Acetate,1.5431,1
Super234,D,APR2020,Acetate,1.409,2
Super234,D,APR2020,Acetate,2.49655,3
Super234,D,APR2020,Butyrate,0.43535,1
Super234,D,APR2020,Butyrate,0.295,2
Super234,D,APR2020,Butyrate,0.42135,3
Super234,D,APR2020,Propionate,0.3144,1
Super234,D,APR2020,Propionate,0.5344,2
Super234,D,APR2020,Propionate,0.94775,3
Super234,D,APR2020,Lactate,1.06295,1
Super234,D,APR2020,Lactate,2.2366,2
Super234,D,APR2020,Lactate,0.047,3
Super234,D,APR2020,Succinate,0.2593,1
Super234,D,APR2020,Succinate,0.18825,2
Super234,D,APR2020,Succinate,0.2968,3
Super235,E,APR2020,Acetate,4.74325,1
Super235,E,APR2020,Acetate,4.86035,2
Super235,E,APR2020,Acetate,4.8493,3
Super235,E,APR2020,Butyrate,0.381,1
Super235,E,APR2020,Butyrate,0.37785,2
Super235,E,APR2020,Butyrate,0.43925,3
Super235,E,APR2020,Propionate,1.63975,1
Super235,E,APR2020,Propionate,1.7363,2
Super235,E,APR2020,Propionate,2.0848,3
Super235,E,APR2020,Lactate,0,1
Super235,E,APR2020,Lactate,0,2
Super235,E,APR2020,Lactate,0,3
Super235,E,APR2020,Succinate,0.2423,1
Super235,E,APR2020,Succinate,0.2425,2
Super235,E,APR2020,Succinate,0.30725,3
Super243,F,APR2020,Acetate,0.14125,1
Super243,F,APR2020,Acetate,0.43185,2
Super243,F,APR2020,Acetate,0.2401,3
Super243,F,APR2020,Butyrate,0,1
Super243,F,APR2020,Butyrate,0,2
Super243,F,APR2020,Butyrate,0,3
Super243,F,APR2020,Propionate,0,1
Super243,F,APR2020,Propionate,0,2
Super243,F,APR2020,Propionate,0.2542,3
Super243,F,APR2020,Lactate,0.9242,1
Super243,F,APR2020,Lactate,5.2163,2
Super243,F,APR2020,Lactate,6.51045,3
Super243,F,APR2020,Succinate,0.48385,1
Super243,F,APR2020,Succinate,0.7525,2
Super243,F,APR2020,Succinate,0.3384,3
Super260,G,APR2020,Acetate,4.99505,1
Super260,G,APR2020,Acetate,5.0025,2
Super260,G,APR2020,Acetate,4.73865,3
Super260,G,APR2020,Butyrate,0.6324,1
Super260,G,APR2020,Butyrate,0.65955,2
Super260,G,APR2020,Butyrate,0.6338,3
Super260,G,APR2020,Propionate,2.51915,1
Super260,G,APR2020,Propionate,2.77105,2
Super260,G,APR2020,Propionate,2.51485,3
Super260,G,APR2020,Lactate,0,1
Super260,G,APR2020,Lactate,0,2
Super260,G,APR2020,Lactate,0,3
Super260,G,APR2020,Succinate,0.10615,1
Super260,G,APR2020,Succinate,0.09555,2
Super260,G,APR2020,Succinate,0.1205,3
Super262,H,APR2020,Acetate,0.14125,1
Super262,H,APR2020,Acetate,0.43185,2
Super262,H,APR2020,Acetate,0.2401,3
Super262,H,APR2020,Butyrate,0,1
Super262,H,APR2020,Butyrate,0,2
Super262,H,APR2020,Butyrate,0,3
Super262,H,APR2020,Propionate,0,1
Super262,H,APR2020,Propionate,0,2
Super262,H,APR2020,Propionate,0.2542,3
Super262,H,APR2020,Lactate,0.9242,1
Super262,H,APR2020,Lactate,5.2163,2
Super262,H,APR2020,Lactate,6.51045,3
Super262,H,APR2020,Succinate,0.48385,1
Super262,H,APR2020,Succinate,0.7525,2
Super262,H,APR2020,Succinate,0.3384,3